sex,totalpositive2,date,case_percent,deaths,deaths_percent,ca_percent
Male,38647,2020-05-15,50.3,1752.0,56.2,49.7
Unknown,470,2020-05-15,0.6,4.0,0.1,0.0
Female,38662,2020-05-16,49.0,1397.0,43.9,50.3
Male,39701,2020-05-16,50.4,1778.0,55.9,49.7
Unknown,476,2020-05-16,0.6,4.0,0.1,0.0
Female,39425,2020-05-17,49.0,1412.0,43.9,50.3
Male,40533,2020-05-17,50.4,1800.0,56.0,49.7
Unknown,472,2020-05-17,0.6,4.0,0.1,0.0
Female,40105,2020-05-18,49.0,1426.0,43.9,50.3
Male,41214,2020-05-18,50.4,1820.0,56.0,49.7
Unknown,476,2020-05-18,0.6,4.0,0.1,0.0
Female,41226,2020-05-19,49.0,1483.0,44.0,50.3
Male,42336,2020-05-19,50.4,1887.0,55.9,49.7
Unknown,495,2020-05-19,0.6,4.0,0.1,0.0
Female,42252,2020-05-20,49.0,1521.0,44.1,50.3
Male,43450,2020-05-20,50.4,1926.0,55.8,49.7
Unknown,495,2020-05-20,0.6,4.0,0.1,0.0
Female,43272,2020-05-21,48.9,1562.0,44.1,50.3
Male,44534,2020-05-21,50.4,1978.0,55.8,49.7
Unknown,638,2020-05-21,0.7,4.0,0.1,0.0
Female,44539,2020-05-22,49.1,1584.0,44.1,50.3
Male,45580,2020-05-22,50.3,2000.0,55.7,49.7
Unknown,512,2020-05-22,0.6,5.0,0.1,0.0
Female,45597,2020-05-23,49.2,1608.0,44.1,50.3
Male,46595,2020-05-23,50.3,2033.0,55.8,49.7
Unknown,518,2020-05-23,0.6,5.0,0.1,0.0
Female,46544,2020-05-24,49.2,1616.0,44.1,50.3
Male,47490,2020-05-24,50.2,2045.0,55.8,49.7
Unknown,524,2020-05-24,0.6,5.0,0.1,0.0
Female,47595,2020-05-25,49.2,1620.0,44.0,50.3
Male,48614,2020-05-25,50.3,2054.0,55.8,49.7
Unknown,524,2020-05-25,0.5,5.0,0.1,0.0
Female,48739,2020-05-26,49.2,1631.0,44.0,50.3
Male,49714,2020-05-26,50.2,2071.0,55.9,49.7
Unknown,527,2020-05-26,0.5,5.0,0.1,0.0
Female,50091,2020-05-27,49.3,1682.0,44.1,50.3
Male,51067,2020-05-27,50.2,2129.0,55.8,49.7
Unknown,539,2020-05-27,0.5,5.0,0.1,0.0
Female,51169,2020-05-28,49.3,1725.0,44.2,50.3
Male,52177,2020-05-28,50.2,2173.0,55.7,49.7
Unknown,540,2020-05-28,0.5,6.0,0.2,0.0
Female,52561,2020-05-29,49.2,1759.0,44.1,50.3
Male,53765,2020-05-29,50.3,2220.0,55.7,49.7
Unknown,552,2020-05-29,0.5,6.0,0.2,0.0
Female,54396,2020-05-30,49.2,1784.0,44.1,50.3
Male,55627,2020-05-30,50.3,2253.0,55.7,49.7
Unknown,560,2020-05-30,0.5,6.0,0.1,0.0
Female,55605,2020-05-31,49.2,1797.0,44.0,50.3
Male,56841,2020-05-31,50.3,2277.0,55.8,49.7
Unknown,560,2020-05-31,0.5,6.0,0.1,0.0
Female,56728,2020-06-01,49.2,1816.0,44.0,50.3
Male,58001,2020-06-01,50.3,2305.0,55.9,49.7
Unknown,581,2020-06-01,0.5,6.0,0.1,0.0
Female,57878,2020-06-02,49.2,1866.0,44.1,50.3
Male,59237,2020-06-02,50.3,2359.0,55.8,49.7
Unknown,572,2020-06-02,0.5,6.0,0.1,0.0
Female,58886,2020-06-03,49.2,1894.0,44.1,50.3
Male,60336,2020-06-03,50.4,2398.0,55.8,49.7
Unknown,585,2020-06-03,0.5,6.0,0.1,0.0
Female,60404,2020-06-04,49.1,1921.0,44.0,50.3
Male,61884,2020-06-04,50.4,2441.0,55.9,49.7
Unknown,613,2020-06-04,0.5,6.0,0.1,0.0
Female,61848,2020-06-05,49.1,1947.0,43.9,50.3
Male,63565,2020-06-05,50.4,2482.0,56.0,49.7
Unknown,603,2020-06-05,0.5,6.0,0.1,0.0
Female,63173,2020-06-06,49.0,1979.0,44.0,50.3
Male,65024,2020-06-06,50.5,2516.0,55.9,49.7
Unknown,615,2020-06-06,0.5,6.0,0.1,0.0
Female,64392,2020-06-07,49.0,1991.0,44.0,50.3
Male,66303,2020-06-07,50.5,2531.0,55.9,49.7
Unknown,624,2020-06-07,0.5,6.0,0.1,0.0
Female,65556,2020-06-08,49.1,2008.0,44.0,50.3
Male,67306,2020-06-08,50.4,2545.0,55.8,49.7
Unknown,627,2020-06-08,0.5,6.0,0.1,0.0
