age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
0-17,26652,2020-07-11,8.3,0.0,0.0,22.5
18-49,190310,2020-07-11,59.3,454.0,6.5,43.5
50-64,63696,2020-07-11,19.9,1187.0,17.0,18.4
65+,39776,2020-07-11,12.4,5348.0,76.5,15.6
Missing,370,2020-07-11,0.1,0.0,0.0,0.0
0-17,27415,2020-07-12,8.3,0.0,0.0,22.5
18-49,195752,2020-07-12,59.5,455.0,6.5,43.5
50-64,65134,2020-07-12,19.8,1192.0,17.0,18.4
65+,40473,2020-07-12,12.3,5367.0,76.5,15.6
Missing,388,2020-07-12,0.1,0.0,0.0,0.0
0-17,28108,2020-07-13,8.4,0.0,0.0,22.5
18-49,200437,2020-07-13,59.6,456.0,6.5,43.5
50-64,66427,2020-07-13,19.7,1193.0,16.9,18.4
65+,41080,2020-07-13,12.2,5390.0,76.6,15.6
Missing,456,2020-07-13,0.1,0.0,0.0,0.0
0-17,29156,2020-07-14,8.4,0.0,0.0,22.5
18-49,207574,2020-07-14,59.7,466.0,6.5,43.5
50-64,68493,2020-07-14,19.7,1220.0,17.0,18.4
65+,42007,2020-07-14,12.1,5478.0,76.5,15.6
Missing,404,2020-07-14,0.1,0.0,0.0,0.0
0-17,29945,2020-07-15,8.4,0.0,0.0,22.5
18-49,213083,2020-07-15,59.8,477.0,6.5,43.5
50-64,69998,2020-07-15,19.7,1238.0,17.0,18.4
65+,42748,2020-07-15,12.0,5568.0,76.5,15.6
Missing,404,2020-07-15,0.1,0.0,0.0,0.0
0-17,31018,2020-07-16,8.5,0.0,0.0,22.5
18-49,219485,2020-07-16,59.9,484.0,6.5,43.5
50-64,71688,2020-07-16,19.6,1271.0,17.2,18.4
65+,43550,2020-07-16,11.9,5654.0,76.3,15.6
Missing,423,2020-07-16,0.1,0.0,0.0,0.0
0-17,31953,2020-07-17,8.5,0.0,0.0,22.5
18-49,225279,2020-07-17,60.0,491.0,6.5,43.5
50-64,73362,2020-07-17,19.5,1294.0,17.2,18.4
65+,44297,2020-07-17,11.8,5745.0,76.3,15.6
Missing,472,2020-07-17,0.1,0.0,0.0,0.0
0-17,32913,2020-07-18,8.6,0.0,0.0,22.5
18-49,231171,2020-07-18,60.1,505.0,6.6,43.5
50-64,74999,2020-07-18,19.5,1306.0,17.1,18.4
65+,45166,2020-07-18,11.7,5809.0,76.2,15.6
Missing,443,2020-07-18,0.1,0.0,0.0,0.0
0-17,33630,2020-07-19,8.6,0.0,0.0,22.5
18-49,235513,2020-07-19,60.2,506.0,6.6,43.5
50-64,76179,2020-07-19,19.5,1311.0,17.1,18.4
65+,45759,2020-07-19,11.7,5834.0,76.3,15.6
Missing,457,2020-07-19,0.1,0.0,0.0,0.0
0-17,34617,2020-07-20,8.6,0.0,0.0,22.5
18-49,241406,2020-07-20,60.2,508.0,6.6,43.5
50-64,77787,2020-07-20,19.4,1317.0,17.2,18.4
65+,46495,2020-07-20,11.6,5852.0,76.2,15.6
Missing,464,2020-07-20,0.1,0.0,0.0,0.0
0-17,35962,2020-07-21,8.7,0.0,0.0,22.5
18-49,249412,2020-07-21,60.3,516.0,6.6,43.5
50-64,80056,2020-07-21,19.4,1337.0,17.2,18.4
65+,47673,2020-07-21,11.5,5940.0,76.2,15.6
Missing,473,2020-07-21,0.1,0.0,0.0,0.0
0-17,37335,2020-07-22,8.8,0.0,0.0,22.5
18-49,256853,2020-07-22,60.3,526.0,6.6,43.5
50-64,82217,2020-07-22,19.3,1371.0,17.2,18.4
65+,48744,2020-07-22,11.5,6052.0,76.1,15.6
Missing,467,2020-07-22,0.1,0.0,0.0,0.0
0-17,38301,2020-07-23,8.8,0.0,0.0,22.5
18-49,262780,2020-07-23,60.4,547.0,6.8,43.5
50-64,84114,2020-07-23,19.3,1402.0,17.3,18.4
65+,49648,2020-07-23,11.4,6147.0,75.9,15.6
Missing,491,2020-07-23,0.1,0.0,0.0,0.0
0-17,39396,2020-07-24,8.8,0.0,0.0,22.5
18-49,268931,2020-07-24,60.4,567.0,6.9,43.5
50-64,86034,2020-07-24,19.3,1430.0,17.4,18.4
65+,50518,2020-07-24,11.3,6245.0,75.8,15.6
Missing,521,2020-07-24,0.1,0.0,0.0,0.0
0-17,40407,2020-07-25,8.9,0.0,0.0,22.5
18-49,274037,2020-07-25,60.4,580.0,6.9,43.5
50-64,87494,2020-07-25,19.3,1463.0,17.5,18.4
65+,51190,2020-07-25,11.3,6339.0,75.6,15.6
Missing,531,2020-07-25,0.1,0.0,0.0,0.0
0-17,41148,2020-07-26,8.9,0.0,0.0,22.5
18-49,278295,2020-07-26,60.4,585.0,7.0,43.5
50-64,88800,2020-07-26,19.3,1467.0,17.4,18.4
65+,51772,2020-07-26,11.2,6360.0,75.6,15.6
Missing,535,2020-07-26,0.1,0.0,0.0,0.0
0-17,41836,2020-07-27,9.0,0.0,0.0,22.5
18-49,282008,2020-07-27,60.4,589.0,7.0,43.5
50-64,89869,2020-07-27,19.3,1469.0,17.4,18.4
65+,52302,2020-07-27,11.2,6378.0,75.6,15.6
Missing,535,2020-07-27,0.1,0.0,0.0,0.0
0-17,42697,2020-07-28,9.0,0.0,0.0,22.5
18-49,287413,2020-07-28,60.5,606.0,7.1,43.5
50-64,91465,2020-07-28,19.2,1497.0,17.6,18.4
65+,53138,2020-07-28,11.2,6413.0,75.3,15.6
Missing,592,2020-07-28,0.1,0.0,0.0,0.0
0-17,43880,2020-07-29,9.0,0.0,0.0,22.5
18-49,293721,2020-07-29,60.5,626.0,7.2,43.5
50-64,93273,2020-07-29,19.2,1534.0,17.5,18.4
65+,54039,2020-07-29,11.1,6591.0,75.3,15.6
Missing,589,2020-07-29,0.1,0.0,0.0,0.0
0-17,44793,2020-07-30,9.1,0.0,0.0,22.5
18-49,298735,2020-07-30,60.5,637.0,7.1,43.5
50-64,94730,2020-07-30,19.2,1569.0,17.6,18.4
65+,54743,2020-07-30,11.1,6733.0,75.3,15.6
Missing,587,2020-07-30,0.1,0.0,0.0,0.0
0-17,45520,2020-07-31,9.1,0.0,0.0,22.5
18-49,302739,2020-07-31,60.5,649.0,7.1,43.5
50-64,95892,2020-07-31,19.2,1594.0,17.5,18.4
65+,55360,2020-07-31,11.1,6851.0,75.3,15.6
Missing,619,2020-07-31,0.1,1.0,0.0,0.0
0-17,46556,2020-08-01,9.1,0.0,0.0,22.5
18-49,308114,2020-08-01,60.5,666.0,7.2,43.5
50-64,97551,2020-08-01,19.2,1626.0,17.6,18.4
65+,56206,2020-08-01,11.0,6959.0,75.2,15.6
Missing,735,2020-08-01,0.1,1.0,0.0,0.0
0-17,47286,2020-08-02,9.2,1.0,0.0,22.5
18-49,311547,2020-08-02,60.5,674.0,7.2,43.5
50-64,98574,2020-08-02,19.1,1646.0,17.6,18.4
65+,56786,2020-08-02,11.0,7004.0,75.1,15.6
Missing,708,2020-08-02,0.1,1.0,0.0,0.0
0-17,47920,2020-08-03,9.2,1.0,0.0,22.5
18-49,314238,2020-08-03,60.5,676.0,7.2,43.5
50-64,99383,2020-08-03,19.1,1652.0,17.7,18.4
65+,57247,2020-08-03,11.0,7019.0,75.1,15.6
Missing,639,2020-08-03,0.1,1.0,0.0,0.0
