age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
0-17,1566,2020-05-01,3.0,0.0,0.0,22.49
18-49,25548,2020-05-01,48.95,139.0,6.67,43.52
50-64,13454,2020-05-01,25.78,322.0,15.46,18.42
65+,11547,2020-05-01,22.12,1622.0,77.87,15.57
Unknown,82,2020-05-01,0.16,0.0,0.0,
0-17,1640,2020-05-02,3.1,0.0,0.0,22.5
18-49,26256,2020-05-02,49.0,139.0,6.5,43.5
50-64,13773,2020-05-02,25.7,331.0,15.5,18.4
65+,11860,2020-05-02,22.1,1668.0,78.0,15.6
Unknown,87,2020-05-02,0.2,0.0,0.0,0.0
0-17,1715,2020-05-03,3.12,0.0,0.0,22.5
18-49,26956,2020-05-03,49.07,139.0,6.38,43.5
50-64,14078,2020-05-03,25.63,335.0,15.38,18.4
65+,12098,2020-05-03,22.02,1704.0,78.24,15.6
Unknown,90,2020-05-03,0.16,0.0,0.0,0.0
0-17,1773,2020-05-04,3.2,0.0,0.0,22.5
18-49,27556,2020-05-04,49.0,141.0,6.3,43.5
50-64,14366,2020-05-04,25.6,342.0,15.4,18.4
65+,12425,2020-05-04,22.1,1738.0,78.3,15.6
Unknown,92,2020-05-04,0.2,0.0,0.0,0.0
0-17,1937,2020-05-05,3.3,0.0,0.0,22.5
18-49,28968,2020-05-05,49.3,145.0,6.2,43.5
50-64,14974,2020-05-05,25.5,353.0,15.2,18.4
65+,12842,2020-05-05,21.8,1826.0,78.5,15.6
Unknown,94,2020-05-05,0.2,1.0,0.0,0.0
0-17,2055,2020-05-06,3.4,0.0,0.0,22.5
18-49,29902,2020-05-06,49.3,150.0,6.2,43.5
50-64,15375,2020-05-06,25.4,370.0,15.3,18.4
65+,13194,2020-05-06,21.8,1891.0,78.4,15.6
Unknown,88,2020-05-06,0.1,1.0,0.0,0.0
0-17,2181,2020-05-07,3.5,0.0,0.0,22.5
18-49,30860,2020-05-07,49.4,153.0,6.1,43.5
50-64,15793,2020-05-07,25.3,386.0,15.5,18.4
65+,13580,2020-05-07,21.7,1953.0,78.3,15.6
Unknown,98,2020-05-07,0.2,1.0,0.0,0.0
0-17,2260,2020-05-08,3.5,0.0,0.0,22.5
18-49,32004,2020-05-08,49.6,156.0,6.1,43.5
50-64,16250,2020-05-08,25.2,395.0,15.3,18.4
65+,13948,2020-05-08,21.6,2024.0,78.6,15.6
Unknown,99,2020-05-08,0.2,1.0,0.0,0.0
0-17,2373,2020-05-09,3.6,0.0,0.0,22.5
18-49,33190,2020-05-09,49.8,162.0,6.1,43.5
50-64,16729,2020-05-09,25.1,405.0,15.2,18.4
65+,14290,2020-05-09,21.4,2089.0,78.6,15.6
Unknown,98,2020-05-09,0.1,1.0,0.0,0.0
0-17,2444,2020-05-10,3.6,0.0,0.0,22.5
18-49,33805,2020-05-10,49.8,163.0,6.1,43.5
50-64,17002,2020-05-10,25.0,412.0,15.3,18.4
65+,14597,2020-05-10,21.5,2115.0,78.6,15.6
Unknown,91,2020-05-10,0.1,1.0,0.0,0.0
0-17,2549,2020-05-11,3.7,0.0,0.0,22.5
18-49,34573,2020-05-11,49.8,167.0,6.1,43.5
50-64,17322,2020-05-11,25.0,418.0,15.2,18.4
65+,14845,2020-05-11,21.4,2166.0,78.7,15.6
Unknown,93,2020-05-11,0.1,1.0,0.0,0.0
0-17,2672,2020-05-12,3.8,0.0,0.0,22.5
18-49,35567,2020-05-12,50.0,169.0,5.9,43.5
50-64,17701,2020-05-12,24.9,440.0,15.5,18.4
65+,15098,2020-05-12,21.2,2236.0,78.6,15.6
